,name_i,name_j,spearman,n_words
168,LexVec_CommonCrawl,THINGS,0.3999992476423873,1544
169,LexVec_CommonCrawl,feature_overlap,0.4279205784262572,4382
170,LexVec_CommonCrawl,norms_sensorimotor,0.1502267547401887,35976
171,LexVec_CommonCrawl,compo_attribs,0.3705473712283887,532
172,LexVec_CommonCrawl,SVD_sim_rel,0.0145675867598014,5953
173,LexVec_CommonCrawl,microarray,0.108268484554698,625
174,LexVec_CommonCrawl,EEG_speech,0.0642373393328808,1587
175,LexVec_CommonCrawl,EEG_text,0.0507325359139898,3311
176,LexVec_CommonCrawl,fMRI_speech_cognival,0.0043807207550681,575
177,LexVec_CommonCrawl,fMRI_text_cognival,0.0268961678626205,1164
178,LexVec_CommonCrawl,fMRI_text_denoise,-0.0058453406723072,1109
179,LexVec_CommonCrawl,eye_tracking,0.0902233333748311,7370
180,morphoNLM,spherical_text_Wikipedia,0.3259146595103912,31910
181,morphoNLM,PPMI_SVD_SWOW,0.2292252406908292,11224
182,morphoNLM,SGSoftMaxInput_SWOW,0.1969542434915611,11224
183,morphoNLM,SGSoftMaxOutput_SWOW,-0.0097706829146743,22392
184,morphoNLM,PPMI_SVD_SouthFlorida,0.0880025493452877,4902
185,morphoNLM,PPMI_SVD_EAT,0.1450817959884471,7519
186,morphoNLM,THINGS,0.2721800562132805,1385
187,morphoNLM,feature_overlap,0.2625966135044914,4309
188,morphoNLM,norms_sensorimotor,0.1121969318963503,25628
189,morphoNLM,compo_attribs,0.3243532995712108,527
190,morphoNLM,SVD_sim_rel,0.0146114303187832,5926
191,morphoNLM,microarray,-0.0165574462135026,618
192,morphoNLM,EEG_speech,-0.0223202379745579,1565
193,morphoNLM,EEG_text,-0.010426435759586,3240
194,morphoNLM,fMRI_speech_cognival,0.0097231869604119,571
195,morphoNLM,fMRI_text_cognival,0.0024349568197425,1120
196,morphoNLM,fMRI_text_denoise,-0.0060604333219539,1069
197,morphoNLM,eye_tracking,0.0432379512773744,7067
198,spherical_text_Wikipedia,PPMI_SVD_SWOW,0.3299059731956433,11445
199,spherical_text_Wikipedia,SGSoftMaxInput_SWOW,0.275526726658935,11445
200,spherical_text_Wikipedia,SGSoftMaxOutput_SWOW,-0.1994400660343037,23519
201,spherical_text_Wikipedia,PPMI_SVD_SouthFlorida,0.1256037414060794,4941
202,spherical_text_Wikipedia,PPMI_SVD_EAT,0.2138313314418118,7670
203,spherical_text_Wikipedia,THINGS,0.3817799527595047,1460
204,spherical_text_Wikipedia,feature_overlap,0.3771744686756321,4355
205,spherical_text_Wikipedia,norms_sensorimotor,0.1163132786766594,28008
206,spherical_text_Wikipedia,compo_attribs,0.3414489938119938,531
207,spherical_text_Wikipedia,SVD_sim_rel,0.0173156567248169,5603
208,spherical_text_Wikipedia,microarray,0.1348692327692812,622
209,spherical_text_Wikipedia,EEG_speech,0.0929713835920677,1580
210,spherical_text_Wikipedia,EEG_text,0.0902723229597417,3282
211,spherical_text_Wikipedia,fMRI_speech_cognival,0.0079643931491993,573
212,spherical_text_Wikipedia,fMRI_text_cognival,0.0280884436110791,1137
213,spherical_text_Wikipedia,fMRI_text_denoise,0.0104526305425969,1084
214,spherical_text_Wikipedia,eye_tracking,0.0771908579615833,7193
215,PPMI_SVD_SWOW,SGSoftMaxInput_SWOW,0.5063412530061938,11783
216,PPMI_SVD_SWOW,SGSoftMaxOutput_SWOW,-0.0870383845499452,11689
217,PPMI_SVD_SWOW,PPMI_SVD_SouthFlorida,0.237412753921139,4894
218,PPMI_SVD_SWOW,PPMI_SVD_EAT,0.3585594821055338,5748
219,PPMI_SVD_SWOW,THINGS,0.4181682548199942,1175
220,PPMI_SVD_SWOW,feature_overlap,0.6058021154487632,4191
221,PPMI_SVD_SWOW,norms_sensorimotor,0.1636077883747604,10747
222,PPMI_SVD_SWOW,compo_attribs,0.3368178533079305,476
223,PPMI_SVD_SWOW,SVD_sim_rel,0.0264359276706269,4044
224,PPMI_SVD_SWOW,microarray,0.068452064452971,490
225,PPMI_SVD_SWOW,EEG_speech,0.0464172618230911,1140
226,PPMI_SVD_SWOW,EEG_text,0.0251071332248211,2092
227,PPMI_SVD_SWOW,fMRI_speech_cognival,0.0116112674906892,488
228,PPMI_SVD_SWOW,fMRI_text_cognival,0.0386740200263191,845
229,PPMI_SVD_SWOW,fMRI_text_denoise,0.0105385902117215,820
230,PPMI_SVD_SWOW,eye_tracking,0.0433285402982396,4041
231,SGSoftMaxInput_SWOW,SGSoftMaxOutput_SWOW,-0.0016259021794726,11689
232,SGSoftMaxInput_SWOW,PPMI_SVD_SouthFlorida,0.17005942412469,4894
233,SGSoftMaxInput_SWOW,PPMI_SVD_EAT,0.2536306756376807,5748
234,SGSoftMaxInput_SWOW,THINGS,0.3521079627757907,1175
235,SGSoftMaxInput_SWOW,feature_overlap,0.506695359607005,4191
236,SGSoftMaxInput_SWOW,norms_sensorimotor,0.1299273498262646,10747
237,SGSoftMaxInput_SWOW,compo_attribs,0.2750095040628307,476
238,SGSoftMaxInput_SWOW,SVD_sim_rel,0.0220017591658616,4044
239,SGSoftMaxInput_SWOW,microarray,0.0459983553438781,490
240,SGSoftMaxInput_SWOW,EEG_speech,0.0562502964396788,1140
241,SGSoftMaxInput_SWOW,EEG_text,0.0319329959440397,2092
242,SGSoftMaxInput_SWOW,fMRI_speech_cognival,0.0102984842802928,488
243,SGSoftMaxInput_SWOW,fMRI_text_cognival,0.0325270652683146,845
244,SGSoftMaxInput_SWOW,fMRI_text_denoise,0.0003785799282927,820
245,SGSoftMaxInput_SWOW,eye_tracking,0.0308313423942857,4041
246,SGSoftMaxOutput_SWOW,PPMI_SVD_SouthFlorida,-0.0211827198718406,4883
247,SGSoftMaxOutput_SWOW,PPMI_SVD_EAT,-0.0684212590624828,7076
248,SGSoftMaxOutput_SWOW,THINGS,0.0406133513395027,1386
249,SGSoftMaxOutput_SWOW,feature_overlap,0.1283494577324945,4263
250,SGSoftMaxOutput_SWOW,norms_sensorimotor,0.0225731189943087,18311
251,SGSoftMaxOutput_SWOW,compo_attribs,0.0058163850476409,518
252,SGSoftMaxOutput_SWOW,SVD_sim_rel,-0.0064202765600234,4774
253,SGSoftMaxOutput_SWOW,microarray,-0.0884264509432488,559
254,SGSoftMaxOutput_SWOW,EEG_speech,-0.0912115424443796,1408
255,SGSoftMaxOutput_SWOW,EEG_text,-0.0486678146587727,2745
256,SGSoftMaxOutput_SWOW,fMRI_speech_cognival,0.0025683322560355,555
257,SGSoftMaxOutput_SWOW,fMRI_text_cognival,-0.007192885207999,1045
258,SGSoftMaxOutput_SWOW,fMRI_text_denoise,-0.0189225187714144,1013
259,SGSoftMaxOutput_SWOW,eye_tracking,-0.0554504946830312,5690
260,PPMI_SVD_SouthFlorida,PPMI_SVD_EAT,0.1919941207014401,3536
261,PPMI_SVD_SouthFlorida,THINGS,0.1934198712146649,829
262,PPMI_SVD_SouthFlorida,feature_overlap,0.5250591095209539,3979
263,PPMI_SVD_SouthFlorida,norms_sensorimotor,0.0735627917051441,4768
264,PPMI_SVD_SouthFlorida,compo_attribs,0.1355979609650575,391
265,PPMI_SVD_SouthFlorida,SVD_sim_rel,0.0278172993384723,2960
266,PPMI_SVD_SouthFlorida,microarray,0.0100330296487965,380
267,PPMI_SVD_SouthFlorida,EEG_speech,0.0097727030386951,785
268,PPMI_SVD_SouthFlorida,EEG_text,0.0108471974825134,1284
269,PPMI_SVD_SouthFlorida,fMRI_speech_cognival,0.0072554618848965,336
270,PPMI_SVD_SouthFlorida,fMRI_text_cognival,0.0139336200690888,559
271,PPMI_SVD_SouthFlorida,fMRI_text_denoise,0.0065420780422605,541
272,PPMI_SVD_SouthFlorida,eye_tracking,0.0124069049958393,2359
273,PPMI_SVD_EAT,THINGS,0.2647295155143113,735
274,PPMI_SVD_EAT,feature_overlap,0.4931617080318954,3028
275,PPMI_SVD_EAT,norms_sensorimotor,0.1221661281515355,6309
276,PPMI_SVD_EAT,compo_attribs,0.2453979305711373,403
277,PPMI_SVD_EAT,SVD_sim_rel,0.0226385677268222,2872
