embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,child_body_object_interact,2105,5,0.6326632291455163,pass
BERT_base&Llama_3_8B,semantic_size_glasgow,2762,1,0.7263594806255165,pass
BERT_base&Llama_3_8B,semantic_size_glasgow,2762,2,0.737929150878714,pass
BERT_base&Llama_3_8B,semantic_size_glasgow,2762,3,0.7470271355306293,pass
BERT_base&Llama_3_8B,semantic_size_glasgow,2762,4,0.7535518614283866,pass
BERT_base&Llama_3_8B,semantic_size_glasgow,2762,5,0.753712651349202,pass
BERT_base&Llama_3_8B,gender_association_glasgow,2762,1,0.7112140539420269,pass
BERT_base&Llama_3_8B,gender_association_glasgow,2762,2,0.6971303713039643,pass
BERT_base&Llama_3_8B,gender_association_glasgow,2762,3,0.7092992101317772,pass
BERT_base&Llama_3_8B,gender_association_glasgow,2762,4,0.6314706584244114,pass
BERT_base&Llama_3_8B,gender_association_glasgow,2762,5,0.6308740190855754,pass
BERT_base&Llama_3_8B,feature_visual_vinson,726,1,-0.20155271677192554,pass
BERT_base&Llama_3_8B,feature_visual_vinson,726,2,0.1848206081283027,pass
BERT_base&Llama_3_8B,feature_visual_vinson,726,3,0.31029953090452866,pass
BERT_base&Llama_3_8B,feature_visual_vinson,726,4,0.0594807942607527,pass
BERT_base&Llama_3_8B,feature_visual_vinson,726,5,0.2034514881649092,pass
BERT_base&Llama_3_8B,feature_perceptual_vinson,726,1,-0.08198733587649043,pass
BERT_base&Llama_3_8B,feature_perceptual_vinson,726,2,-0.11951245336939698,pass
BERT_base&Llama_3_8B,feature_perceptual_vinson,726,3,-0.056235621677962255,pass
BERT_base&Llama_3_8B,feature_perceptual_vinson,726,4,0.11115996858711019,pass
BERT_base&Llama_3_8B,feature_perceptual_vinson,726,5,0.019207453160190457,pass
BERT_base&Llama_3_8B,feature_functional_vinson,726,1,0.22883104089964645,pass
BERT_base&Llama_3_8B,feature_functional_vinson,726,2,0.14519143413263225,pass
BERT_base&Llama_3_8B,feature_functional_vinson,726,3,0.22307921797280372,pass
BERT_base&Llama_3_8B,feature_functional_vinson,726,4,-0.0008294438121214665,pass
BERT_base&Llama_3_8B,feature_functional_vinson,726,5,0.17601834647761205,pass
BERT_base&Llama_3_8B,feature_motoric_vinson,726,1,0.19293464091171986,pass
BERT_base&Llama_3_8B,feature_motoric_vinson,726,2,0.2318552574361039,pass
BERT_base&Llama_3_8B,feature_motoric_vinson,726,3,0.1817712233476516,pass
BERT_base&Llama_3_8B,feature_motoric_vinson,726,4,0.22455531723754174,pass
BERT_base&Llama_3_8B,feature_motoric_vinson,726,5,0.20933987376503904,pass
BERT_base&Llama_3_8B,socialness_diveica,3423,1,0.7384723542244762,pass
BERT_base&Llama_3_8B,socialness_diveica,3423,2,0.738820389876863,pass
BERT_base&Llama_3_8B,socialness_diveica,3423,3,0.7412213248446756,pass
BERT_base&Llama_3_8B,socialness_diveica,3423,4,0.7135452910916398,pass
BERT_base&Llama_3_8B,socialness_diveica,3423,5,0.7211934677214795,pass
BERT_base&Llama_3_8B,valence_warriner,5384,1,0.699224960686238,pass
BERT_base&Llama_3_8B,valence_warriner,5384,2,0.7562373304102641,pass
BERT_base&Llama_3_8B,valence_warriner,5384,3,0.7291859421608533,pass
BERT_base&Llama_3_8B,valence_warriner,5384,4,0.6903291967717271,pass
BERT_base&Llama_3_8B,valence_warriner,5384,5,0.7264950404464033,pass
BERT_base&Llama_3_8B,valence_glasgow,2762,1,0.765780230467993,pass
BERT_base&Llama_3_8B,valence_glasgow,2762,2,0.8242484058410138,pass
BERT_base&Llama_3_8B,valence_glasgow,2762,3,0.8130583470621809,pass
BERT_base&Llama_3_8B,valence_glasgow,2762,4,0.7859098104961662,pass
BERT_base&Llama_3_8B,valence_glasgow,2762,5,0.8270221833960956,pass
BERT_base&Llama_3_8B,valence_mohammad,5592,1,0.7002882901716234,pass
BERT_base&Llama_3_8B,valence_mohammad,5592,2,0.7373193987484692,pass
BERT_base&Llama_3_8B,valence_mohammad,5592,3,0.7673601034998238,pass
BERT_base&Llama_3_8B,valence_mohammad,5592,4,0.6727765863478629,pass
BERT_base&Llama_3_8B,valence_mohammad,5592,5,0.70488399125627,pass
BERT_base&Llama_3_8B,valence_older_kyrolainen,1935,1,0.7595389699226062,pass
BERT_base&Llama_3_8B,valence_older_kyrolainen,1935,2,0.7732830422901009,pass
BERT_base&Llama_3_8B,valence_older_kyrolainen,1935,3,0.760020832035788,pass
BERT_base&Llama_3_8B,valence_older_kyrolainen,1935,4,0.7333703195784386,pass
BERT_base&Llama_3_8B,valence_older_kyrolainen,1935,5,0.7368739185861661,pass
BERT_base&Llama_3_8B,valence_younger_kyrolainen,1935,1,0.7674938998012415,pass
BERT_base&Llama_3_8B,valence_younger_kyrolainen,1935,2,0.8071056400907566,pass
BERT_base&Llama_3_8B,valence_younger_kyrolainen,1935,3,0.7719169340092812,pass
BERT_base&Llama_3_8B,valence_younger_kyrolainen,1935,4,0.7533864168890116,pass
BERT_base&Llama_3_8B,valence_younger_kyrolainen,1935,5,0.7540517155529576,pass
BERT_base&Llama_3_8B,arousal_warriner,5384,1,0.4629864270538083,pass
BERT_base&Llama_3_8B,arousal_warriner,5384,2,0.448701298265745,pass
BERT_base&Llama_3_8B,arousal_warriner,5384,3,0.4753954997387543,pass
BERT_base&Llama_3_8B,arousal_warriner,5384,4,0.44467503071856496,pass
BERT_base&Llama_3_8B,arousal_warriner,5384,5,0.4585381775459849,pass
BERT_base&Llama_3_8B,arousal_glasgow,2762,1,0.5914610461244216,pass
BERT_base&Llama_3_8B,arousal_glasgow,2762,2,0.6333779482481556,pass
BERT_base&Llama_3_8B,arousal_glasgow,2762,3,0.6550653359309044,pass
BERT_base&Llama_3_8B,arousal_glasgow,2762,4,0.556993887437955,pass
BERT_base&Llama_3_8B,arousal_glasgow,2762,5,0.6304369931396413,pass
BERT_base&Llama_3_8B,arousal_mohammad,5592,1,0.604447777868091,pass
BERT_base&Llama_3_8B,arousal_mohammad,5592,2,0.6059144291332839,pass
BERT_base&Llama_3_8B,arousal_mohammad,5592,3,0.6296378551448989,pass
BERT_base&Llama_3_8B,arousal_mohammad,5592,4,0.5999077027354927,pass
BERT_base&Llama_3_8B,arousal_mohammad,5592,5,0.5967081740167427,pass
BERT_base&Llama_3_8B,dominance_warriner,5384,1,0.5037972152337453,pass
BERT_base&Llama_3_8B,dominance_warriner,5384,2,0.5666106300403345,pass
BERT_base&Llama_3_8B,dominance_warriner,5384,3,0.543173387068845,pass
BERT_base&Llama_3_8B,dominance_warriner,5384,4,0.5154456604238338,pass
BERT_base&Llama_3_8B,dominance_warriner,5384,5,0.5273533476893854,pass
BERT_base&Llama_3_8B,dominance_glasgow,2762,1,0.5912540067536087,pass
BERT_base&Llama_3_8B,dominance_glasgow,2762,2,0.627884205801785,pass
BERT_base&Llama_3_8B,dominance_glasgow,2762,3,0.5805125081374838,pass
BERT_base&Llama_3_8B,dominance_glasgow,2762,4,0.5844235755353013,pass
BERT_base&Llama_3_8B,dominance_glasgow,2762,5,0.6269355070504335,pass
BERT_base&Llama_3_8B,dominance_mohammad,5592,1,0.6291755662106325,pass
BERT_base&Llama_3_8B,dominance_mohammad,5592,2,0.6434336804795194,pass
BERT_base&Llama_3_8B,dominance_mohammad,5592,3,0.6437214410637717,pass
BERT_base&Llama_3_8B,dominance_mohammad,5592,4,0.6116351067920669,pass
BERT_base&Llama_3_8B,dominance_mohammad,5592,5,0.6007831954617979,pass
BERT_base&Llama_3_8B,humor_engelthaler,2682,1,0.49235802958386243,pass
BERT_base&Llama_3_8B,humor_engelthaler,2682,2,0.5334984559308218,pass
BERT_base&Llama_3_8B,humor_engelthaler,2682,3,0.4894848753505856,pass
BERT_base&Llama_3_8B,humor_engelthaler,2682,4,0.4568984194529232,pass
BERT_base&Llama_3_8B,humor_engelthaler,2682,5,0.49670939260946834,pass
BERT_base&Llama_3_8B,anger_mohammad,4946,1,0.40485458060133717,pass
BERT_base&Llama_3_8B,anger_mohammad,4946,2,0.36135465150656865,pass
BERT_base&Llama_3_8B,anger_mohammad,4946,3,0.3528457982861146,pass
BERT_base&Llama_3_8B,anger_mohammad,4946,4,0.29771861805605526,pass
BERT_base&Llama_3_8B,anger_mohammad,4946,5,0.3712742742943532,pass
BERT_base&Llama_3_8B,anticipation_mohammad,4946,1,0.05986065020014919,pass
BERT_base&Llama_3_8B,anticipation_mohammad,4946,2,0.12806861181310591,pass
BERT_base&Llama_3_8B,anticipation_mohammad,4946,3,0.14890679406367857,pass
BERT_base&Llama_3_8B,anticipation_mohammad,4946,4,0.1430684372402472,pass
BERT_base&Llama_3_8B,anticipation_mohammad,4946,5,0.14724944063762024,pass
BERT_base&Llama_3_8B,disgust_mohammad,4946,1,0.3815205823538057,pass
BERT_base&Llama_3_8B,disgust_mohammad,4946,2,0.36890629366634187,pass
BERT_base&Llama_3_8B,disgust_mohammad,4946,3,0.33908764314565076,pass
BERT_base&Llama_3_8B,disgust_mohammad,4946,4,0.4186578963632607,pass
